from_station_code,to_station_code,time_minutes,event_type_code,created_at,updated_at
TOKYU_V2_SHIBUYA,TOKYU_V2_IKEJIRIOHASHI,3,TOKYU_V2,,
TOKYU_V2_SHIMOMARUKO,TOKYU_V2_UNOKI,2,TOKYU_V2,,
TOKYU_V2_SHIMOMARUKO,TOKYU_V2_MUSASHINITTA,2,TOKYU_V2,,
TOKYU_V2_SHIMOSHINMEI,TOKYU_V2_TOGOSHIKOEN,2,TOKYU_V2,,
TOKYU_V2_SHIMOSHINMEI,TOKYU_V2_OIMACHI,3,TOKYU_V2,,
TOKYU_V2_SHINMARUKO,TOKYU_V2_MUSASHIKOSUGI,1,TOKYU_V2,,
TOKYU_V2_SHINMARUKO,TOKYU_V2_TAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_SHINTAKASHIMA,TOKYU_V2_MINATOMIRAI,2,TOKYU_V2,,
TOKYU_V2_SHINTAKASHIMA,TOKYU_V2_YOKOHAMA,2,TOKYU_V2,,
TOKYU_V2_SHINTSUNASHIMA,TOKYU_V2_HIYOSHI,3,TOKYU_V2,,
TOKYU_V2_SHINTSUNASHIMA,TOKYU_V2_SHINYOKOHAMA,4,TOKYU_V2,,
TOKYU_V2_SHINYOKOHAMA,TOKYU_V2_SHINTSUNASHIMA,4,TOKYU_V2,,
TOKYU_V2_SUZUKAKEDAI,TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,2,TOKYU_V2,,
TOKYU_V2_SUZUKAKEDAI,TOKYU_V2_TSUKUSHINO,2,TOKYU_V2,,
TOKYU_V2_TAKATSU,TOKYU_V2_MIZONOKUCHI,2,TOKYU_V2,,
TOKYU_V2_TAKATSU,TOKYU_V2_FUTAKOSHINCHI,1,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_SHINMARUKO,2,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_DENENCHOFU,2,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_NUMABE,2,TOKYU_V2,,
TOKYU_V2_TAMAPLAZA,TOKYU_V2_AZAMINO,1,TOKYU_V2,,
TOKYU_V2_TAMAPLAZA,TOKYU_V2_SAGINUMA,2,TOKYU_V2,,
TOKYU_V2_TANA,TOKYU_V2_NAGATSUTA,2,TOKYU_V2,,
TOKYU_V2_TANA,TOKYU_V2_AOBADAI,2,TOKYU_V2,,
TOKYU_V2_TANMACHI,TOKYU_V2_YOKOHAMA,1,TOKYU_V2,,
TOKYU_V2_TANMACHI,TOKYU_V2_HIGASHIHAKURAKU,2,TOKYU_V2,,
TOKYU_V2_TODOROKI,TOKYU_V2_KAMINOGE,2,TOKYU_V2,,
TOKYU_V2_TODOROKI,TOKYU_V2_OYAMADAI,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_EBARANAKANOBU,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_OSAKIHIROKOJI,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIKOEN,TOKYU_V2_NAKANOBU,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIKOEN,TOKYU_V2_SHIMOSHINMEI,2,TOKYU_V2,,
TOKYU_V2_TORITSUDAIGAKU,TOKYU_V2_JIYUGAOKA,2,TOKYU_V2,,
TOKYU_V2_TORITSUDAIGAKU,TOKYU_V2_GAKUGEIDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_TSUKIMINO,TOKYU_V2_CHUORINKAN,2,TOKYU_V2,,
TOKYU_V2_TSUKIMINO,TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,1,TOKYU_V2,,
TOKYU_V2_TSUKUSHINO,TOKYU_V2_SUZUKAKEDAI,2,TOKYU_V2,,
TOKYU_V2_TSUKUSHINO,TOKYU_V2_NAGATSUTA,3,TOKYU_V2,,
TOKYU_V2_TSUNASHIMA,TOKYU_V2_OKURAYAMA,2,TOKYU_V2,,
TOKYU_V2_TSUNASHIMA,TOKYU_V2_HIYOSHI,2,TOKYU_V2,,
TOKYU_V2_UNOKI,TOKYU_V2_NUMABE,2,TOKYU_V2,,
TOKYU_V2_UNOKI,TOKYU_V2_SHIMOMARUKO,2,TOKYU_V2,,
TOKYU_V2_YAGUCHINOWATASHI,TOKYU_V2_MUSASHINITTA,2,TOKYU_V2,,
TOKYU_V2_YAGUCHINOWATASHI,TOKYU_V2_KAMATA,2,TOKYU_V2,,
TOKYU_V2_YOGA,TOKYU_V2_FUTAKOTAMAGAWA,3,TOKYU_V2,,
TOKYU_V2_YOGA,TOKYU_V2_SAKURASHINMACHI,2,TOKYU_V2,,
TOKYU_V2_YOKOHAMA,TOKYU_V2_SHINTAKASHIMA,2,TOKYU_V2,,
TOKYU_V2_YOKOHAMA,TOKYU_V2_TANMACHI,1,TOKYU_V2,,
TOKYU_V2_YUKIGAYAOTSUKA,TOKYU_V2_ONTAKESAN,1,TOKYU_V2,,
TOKYU_V2_YUKIGAYAOTSUKA,TOKYU_V2_ISHIKAWADAI,2,TOKYU_V2,,
TOKYU_V2_YUTENJI,TOKYU_V2_GAKUGEIDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_YUTENJI,TOKYU_V2_NAKAMEGURO,2,TOKYU_V2,,
