from_station_code,to_station_code,time_minutes,event_type_code
METRO_V1_KOMAGOME,METRO_V1_HON-KOMAGOME,2,METRO_V1
METRO_V1_KOMAGOME,METRO_V1_NISHIGAHARA,2,METRO_V1
METRO_V1_NISHIGAHARA,METRO_V1_KOMAGOME,2,METRO_V1
METRO_V1_NISHIGAHARA,METRO_V1_OJI,1,METRO_V1
METRO_V1_OJI,METRO_V1_NISHIGAHARA,1,METRO_V1
METRO_V1_OJI,METRO_V1_OJI-KAMIYA,2,METRO_V1
METRO_V1_OJI-KAMIYA,METRO_V1_OJI,2,METRO_V1
METRO_V1_OJI-KAMIYA,METRO_V1_SHIMO,2,METRO_V1
METRO_V1_SHIMO,METRO_V1_OJI-KAMIYA,2,METRO_V1
METRO_V1_SHIMO,METRO_V1_AKABANE-IWABUCHI,1,METRO_V1
METRO_V1_AKABANE-IWABUCHI,METRO_V1_SHIMO,2,METRO_V1
METRO_V1_IKEBUKURO,METRO_V1_ZOSHIGAYA,3,METRO_V1
METRO_V1_ZOSHIGAYA,METRO_V1_IKEBUKURO,2,METRO_V1
METRO_V1_ZOSHIGAYA,METRO_V1_NISHI-WASEDA,2,METRO_V1
METRO_V1_NISHI-WASEDA,METRO_V1_ZOSHIGAYA,2,METRO_V1
METRO_V1_NISHI-WASEDA,METRO_V1_HIGASHI-SHINJUKU,2,METRO_V1
METRO_V1_HIGASHI-SHINJUKU,METRO_V1_NISHI-WASEDA,2,METRO_V1
METRO_V1_HIGASHI-SHINJUKU,METRO_V1_SHINJUKU-SANCHOME,2,METRO_V1
METRO_V1_SHINJUKU-SANCHOME,METRO_V1_HIGASHI-SHINJUKU,2,METRO_V1
METRO_V1_SHINJUKU-SANCHOME,METRO_V1_KITA-SANDO,2,METRO_V1
METRO_V1_KITA-SANDO,METRO_V1_SHINJUKU-SANCHOME,3,METRO_V1
METRO_V1_KITA-SANDO,METRO_V1_MEIJI-JINGUMAE,2,METRO_V1
METRO_V1_MEIJI-JINGUMAE,METRO_V1_KITA-SANDO,2,METRO_V1
METRO_V1_MEIJI-JINGUMAE,METRO_V1_SHIBUYA,2,METRO_V1
