id,from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
187,YUTENJI,GAKUGEIDAIGAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
188,YUTENJI,NAKAMEGURO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
189,DUMMY_STATION,DUMMY_NEARBY_STATION,2,2025-07-24 15:00:00,2025-07-24 15:00:00,DUMMY
190,DUMMY_NEARBY_STATION,DUMMY_STATION,2,2025-07-24 15:00:00,2025-07-24 15:00:00,DUMMY
567,TOKYU_V2_AOBADAI,TOKYU_V2_TANA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
568,TOKYU_V2_AOBADAI,TOKYU_V2_FUJIGAOKA,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
569,TOKYU_V2_AZAMINO,TOKYU_V2_EDA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
570,TOKYU_V2_AZAMINO,TOKYU_V2_TAMAPLAZA,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
571,TOKYU_V2_BASHAMICHI,TOKYU_V2_NIHONODORI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
572,TOKYU_V2_BASHAMICHI,TOKYU_V2_MINATOMIRAI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
573,TOKYU_V2_CHIDORICHO,TOKYU_V2_IKEGAMI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
574,TOKYU_V2_CHIDORICHO,TOKYU_V2_KUGAHARA,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
575,TOKYU_V2_CHUORINKAN,TOKYU_V2_TSUKIMINO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
576,TOKYU_V2_DAIKANYAMA,TOKYU_V2_NAKAMEGURO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
577,TOKYU_V2_DAIKANYAMA,TOKYU_V2_SHIBUYA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
578,TOKYU_V2_DENENCHOFU,TOKYU_V2_TAMAGAWA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
579,TOKYU_V2_DENENCHOFU,TOKYU_V2_JIYUGAOKA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
580,TOKYU_V2_DENENCHOFU,TOKYU_V2_OKUSAWA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
581,TOKYU_V2_EBARAMACHI,TOKYU_V2_HATANODAI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
582,TOKYU_V2_EBARAMACHI,TOKYU_V2_NAKANOBU,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
583,TOKYU_V2_EBARANAKANOBU,TOKYU_V2_HATANODAI,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
584,TOKYU_V2_EBARANAKANOBU,TOKYU_V2_TOGOSHIGINZA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
585,TOKYU_V2_EDA,TOKYU_V2_ICHIGAO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
586,TOKYU_V2_EDA,TOKYU_V2_AZAMINO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
587,TOKYU_V2_FUDOMAE,TOKYU_V2_MUSASHIKOYAMA,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
588,TOKYU_V2_FUDOMAE,TOKYU_V2_MEGURO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
589,TOKYU_V2_FUJIGAOKA,TOKYU_V2_AOBADAI,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
590,TOKYU_V2_FUJIGAOKA,TOKYU_V2_ICHIGAO,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
591,TOKYU_V2_FUTAKOSHINCHI,TOKYU_V2_TAKATSU,1,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
592,TOKYU_V2_FUTAKOSHINCHI,TOKYU_V2_FUTAKOTAMAGAWA,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
593,TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_FUTAKOSHINCHI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
594,TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_YOGA,3,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
595,TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_KAMINOGE,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
596,TOKYU_V2_GAKUGEIDAIGAKU,TOKYU_V2_TORITSUDAIGAKU,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
597,TOKYU_V2_GAKUGEIDAIGAKU,TOKYU_V2_YUTENJI,2,2025-09-17 11:13:32.426,2025-09-17 11:13:32.426,TOKYU_V2
